# log10(theta) log10(p/GeV) cross-section[pb/bin] 
-7.475 -1.975 0.0
-7.475 -1.925 0.0
-7.475 -1.875 0.0
-7.475 -1.825 0.0
-7.475 -1.775 0.0
-7.475 -1.725 0.0
-7.475 -1.675 0.0
-7.475 -1.625 0.0
-7.475 -1.575 0.0
-7.475 -1.525 0.0
-7.475 -1.475 0.0
-7.475 -1.425 0.0
-7.475 -1.375 0.0
-7.475 -1.325 0.0
-7.475 -1.275 0.0
-7.475 -1.225 0.0
-7.475 -1.175 0.0
-7.475 -1.125 0.0
-7.475 -1.075 0.0
-7.475 -1.025 0.0
-7.475 -0.975 0.0
-7.475 -0.925 0.0
-7.475 -0.875 0.0
-7.475 -0.825 0.0
-7.475 -0.775 0.0
-7.475 -0.725 0.0
-7.475 -0.675 0.0
-7.475 -0.625 0.0
-7.475 -0.575 0.0
-7.475 -0.525 0.0
-7.475 -0.475 0.0
-7.475 -0.425 0.0
-7.475 -0.375 0.0
-7.475 -0.325 0.0
-7.475 -0.275 0.0
-7.475 -0.225 0.0
-7.475 -0.175 0.0
-7.475 -0.125 0.0
-7.475 -0.075 0.0
-7.475 -0.025 0.0
-7.475 0.025 0.0
-7.475 0.075 0.0
-7.475 0.125 0.0
-7.475 0.175 0.0
-7.475 0.225 0.0
-7.475 0.275 0.0
-7.475 0.325 0.0
-7.475 0.375 0.0
-7.475 0.425 0.0
-7.475 0.475 0.0
-7.475 0.525 0.0
-7.475 0.575 0.0
-7.475 0.625 0.0
-7.475 0.675 0.0
-7.475 0.725 0.0
-7.475 0.775 0.0
-7.475 0.825 0.0
-7.475 0.875 0.0
-7.475 0.925 0.0
-7.475 0.975 1.3419379859692776e-19
-7.475 1.025 2.6792584630724047e-19
-7.475 1.075 5.349722304935721e-19
-7.475 1.125 1.0682835580341727e-18
-7.475 1.175 2.1334636951181832e-18
-7.475 1.225 4.261207548946045e-18
-7.475 1.275 8.512062400289865e-18
-7.475 1.325 1.7005847645730962e-17
-7.475 1.375 3.398057004406799e-17
-7.475 1.425 6.791103796441051e-17
-7.475 1.475 1.3574907804874058e-16
-7.475 1.525 2.7141314011292054e-16
-7.475 1.575 5.427930437134796e-16
-7.475 1.625 1.0858267572915679e-15
-7.475 1.675 2.172825108832092e-15
-7.475 1.725 4.349546150900131e-15
-7.475 1.775 8.710380721426741e-15
-7.475 1.825 1.745122075142631e-14
-7.475 1.875 3.498115132345288e-14
-7.475 1.925 7.015993047346645e-14
-7.475 1.975 1.4080611670855115e-13
-7.475 2.025 2.8279102030328987e-13
-7.475 2.075 5.684079948257598e-13
-7.475 2.125 1.1435334460213746e-12
-7.475 2.175 2.3029309682528185e-12
-7.475 2.225 4.643140784482567e-12
-7.475 2.275 9.373555370785108e-12
-7.475 2.325 1.895087287914019e-11
-7.475 2.375 3.837660150386357e-11
-7.475 2.425 7.785864129510572e-11
-7.475 2.475 1.5828973858979714e-10
-7.475 2.525 3.225675825502587e-10
-7.475 2.575 6.59087175236741e-10
-7.475 2.625 1.3507329801919716e-09
-7.475 2.675 2.777614024638409e-09
-7.475 2.725 5.733839164607263e-09
-7.475 2.775 1.1888140762906626e-08
-7.475 2.825 2.477043446676773e-08
-7.475 2.875 5.1903840798464754e-08
-7.475 2.925 1.0945911145084751e-07
-7.475 2.975 2.325333476761675e-07
-7.475 3.025 4.981481700938618e-07
-7.475 3.075 1.0774800571735524e-06
-7.475 3.125 2.356518657602984e-06
-7.475 3.175 5.2203138978766415e-06
-7.475 3.225 1.1737920605452655e-05
-7.475 3.275 2.6856861991383045e-05
-7.475 3.325 6.272617186658425e-05
-7.475 3.375 0.0001501348010411477
-7.475 3.425 0.0003701192305224534
-7.475 3.475 0.0009459592155029518
-7.475 3.525 0.002527991740447534
-7.475 3.575 0.007140872942970914
-7.475 3.625 0.021591374740557084
-7.475 3.675 0.07070498144047654
-7.475 3.725 0.2518091625673164
-7.475 3.775 0.9612969029061723
-7.475 3.825 3.7116277136384515
-7.475 3.875 0
-7.475 3.925 0
-7.475 3.975 0
-7.425 -1.975 0.0
-7.425 -1.925 0.0
-7.425 -1.875 0.0
-7.425 -1.825 0.0
-7.425 -1.775 0.0
-7.425 -1.725 0.0
-7.425 -1.675 0.0
-7.425 -1.625 0.0
-7.425 -1.575 0.0
-7.425 -1.525 0.0
-7.425 -1.475 0.0
-7.425 -1.425 0.0
-7.425 -1.375 0.0
-7.425 -1.325 0.0
-7.425 -1.275 0.0
-7.425 -1.225 0.0
-7.425 -1.175 0.0
-7.425 -1.125 0.0
-7.425 -1.075 0.0
-7.425 -1.025 0.0
-7.425 -0.975 0.0
-7.425 -0.925 0.0
-7.425 -0.875 0.0
-7.425 -0.825 0.0
-7.425 -0.775 0.0
-7.425 -0.725 0.0
-7.425 -0.675 0.0
-7.425 -0.625 0.0
-7.425 -0.575 0.0
-7.425 -0.525 0.0
-7.425 -0.475 0.0
-7.425 -0.425 0.0
-7.425 -0.375 0.0
-7.425 -0.325 0.0
-7.425 -0.275 0.0
-7.425 -0.225 0.0
-7.425 -0.175 0.0
-7.425 -0.125 0.0
-7.425 -0.075 0.0
-7.425 -0.025 0.0
-7.425 0.025 0.0
-7.425 0.075 0.0
-7.425 0.125 0.0
-7.425 0.175 0.0
-7.425 0.225 0.0
-7.425 0.275 0.0
-7.425 0.325 0.0
-7.425 0.375 0.0
-7.425 0.425 0.0
-7.425 0.475 0.0
-7.425 0.525 0.0
-7.425 0.575 0.0
-7.425 0.625 0.0
-7.425 0.675 0.0
-7.425 0.725 0.0
-7.425 0.775 0.0
-7.425 0.825 0.0
-7.425 0.875 0.0
-7.425 0.925 0.0
-7.425 0.975 1.6893998315886215e-19
-7.425 1.025 3.372986563926471e-19
-7.425 1.075 6.73490135572573e-19
-7.425 1.125 1.344889318211132e-18
-7.425 1.175 2.685871660924623e-18
-7.425 1.225 5.3645424682974416e-18
-7.425 1.275 1.0716051662502915e-17
-7.425 1.325 2.140909375031163e-17
-7.425 1.375 4.277900313573106e-17
-7.425 1.425 8.549493143472083e-17
-7.425 1.475 1.7089796398320353e-16
-7.425 1.525 3.416888991830441e-16
-7.425 1.575 6.833359560760941e-16
-7.425 1.625 1.366974897560646e-15
-7.425 1.675 2.735424744893734e-15
-7.425 1.725 5.475754179141158e-15
-7.425 1.775 1.0965719636609869e-14
-7.425 1.825 2.1969785270809696e-14
-7.425 1.875 4.403866033493578e-14
-7.425 1.925 8.832611936281912e-14
-7.425 1.975 1.7726439846060293e-13
-7.425 2.025 3.560128016873987e-13
-7.425 2.075 7.155832689540969e-13
-7.425 2.125 1.4396233144353532e-12
-7.425 2.175 2.89921831754754e-12
-7.425 2.225 5.845367924139113e-12
-7.425 2.275 1.1800607055182104e-11
-7.425 2.325 2.385773544333529e-11
-7.425 2.375 4.8313278851780296e-11
-7.425 2.425 9.801822205486276e-11
-7.425 2.475 1.9927497433871887e-10
-7.425 2.525 4.060885266980917e-10
-7.425 2.575 8.297415935049607e-10
-7.425 2.625 1.700472073342749e-09
-7.425 2.675 3.496808879852956e-09
-7.425 2.725 7.218475831673704e-09
-7.425 2.775 1.496628250595937e-08
-7.425 2.825 3.118412941285271e-08
-7.425 2.875 6.534306415478912e-08
-7.425 2.925 1.3780085696830838e-07
-7.425 2.975 2.927421405073281e-07
-7.425 3.025 6.271313902470851e-07
-7.425 3.075 1.3564670248902874e-06
-7.425 3.125 2.966681222018615e-06
-7.425 3.175 6.571985825262214e-06
-7.425 3.225 1.4777166536649066e-05
-7.425 3.275 3.381078605600029e-05
-7.425 3.325 7.896757178852329e-05
-7.425 3.375 0.00018900851634691133
-7.425 3.425 0.0004659525050557702
-7.425 3.475 0.0011908920959297587
-7.425 3.525 0.0031825530453666543
-7.425 3.575 0.00898982641352762
-7.425 3.625 0.027181930312599703
-7.425 3.675 0.08901229755159322
-7.425 3.725 0.3170089508670039
-7.425 3.775 1.2102010783020156
-7.425 3.825 4.67266230920279
-7.425 3.875 0
-7.425 3.925 0
-7.425 3.975 0
-7.375 -1.975 0.0
-7.375 -1.925 0.0
-7.375 -1.875 0.0
-7.375 -1.825 0.0
-7.375 -1.775 0.0
-7.375 -1.725 0.0
-7.375 -1.675 0.0
-7.375 -1.625 0.0
-7.375 -1.575 0.0
-7.375 -1.525 0.0
-7.375 -1.475 0.0
-7.375 -1.425 0.0
-7.375 -1.375 0.0
-7.375 -1.325 0.0
-7.375 -1.275 0.0
-7.375 -1.225 0.0
-7.375 -1.175 0.0
-7.375 -1.125 0.0
-7.375 -1.075 0.0
-7.375 -1.025 0.0
-7.375 -0.975 0.0
-7.375 -0.925 0.0
-7.375 -0.875 0.0
-7.375 -0.825 0.0
-7.375 -0.775 0.0
-7.375 -0.725 0.0
-7.375 -0.675 0.0
-7.375 -0.625 0.0
-7.375 -0.575 0.0
-7.375 -0.525 0.0
-7.375 -0.475 0.0
-7.375 -0.425 0.0
-7.375 -0.375 0.0
-7.375 -0.325 0.0
-7.375 -0.275 0.0
-7.375 -0.225 0.0
-7.375 -0.175 0.0
-7.375 -0.125 0.0
-7.375 -0.075 0.0
-7.375 -0.025 0.0
-7.375 0.025 0.0
-7.375 0.075 0.0
-7.375 0.125 0.0
-7.375 0.175 0.0
-7.375 0.225 0.0
-7.375 0.275 0.0
-7.375 0.325 0.0
-7.375 0.375 0.0
-7.375 0.425 0.0
-7.375 0.475 0.0
-7.375 0.525 0.0
-7.375 0.575 0.0
-7.375 0.625 0.0
-7.375 0.675 0.0
-7.375 0.725 0.0
-7.375 0.775 0.0
-7.375 0.825 0.0
-7.375 0.875 0.0
-7.375 0.925 0.0
-7.375 0.975 2.126828378667716e-19
-7.375 1.025 4.2463384989673713e-19
-7.375 1.075 8.478738462650267e-19
-7.375 1.125 1.6931153387465583e-18
-7.375 1.175 3.3813120867559042e-18
-7.375 1.225 6.7535588359888775e-18
-7.375 1.275 1.3490709752024591e-17
-7.375 1.325 2.6952452165752425e-17
-7.375 1.375 5.385557413879778e-17
-7.375 1.425 1.0763174176277888e-16
-7.375 1.475 2.1514778968236268e-16
-7.375 1.525 4.3016083810956674e-16
-7.375 1.575 8.602689998970039e-16
-7.375 1.625 1.7209194358241944e-15
-7.375 1.675 3.443695723398234e-15
-7.375 1.725 6.893566084861254e-15
-7.375 1.775 1.3805023109144398e-14
-7.375 1.825 2.765832096909849e-14
-7.375 1.875 5.544138859706024e-14
-7.375 1.925 1.1119599619111359e-13
-7.375 1.975 2.2316265582870188e-13
-7.375 2.025 4.4819356296891626e-13
-7.375 2.075 9.008659615426062e-13
-7.375 2.125 1.8123783739579565e-12
-7.375 2.175 3.6498996143097635e-12
