# log10(theta) log10(p/GeV) cross-section[pb/bin] 
-7.475 -1.975 0.0
-7.475 -1.925 0.0
-7.475 -1.875 0.0
-7.475 -1.825 0.0
-7.475 -1.775 0.0
-7.475 -1.725 0.0
-7.475 -1.675 0.0
-7.475 -1.625 0.0
-7.475 -1.575 0.0
-7.475 -1.525 0.0
-7.475 -1.475 0.0
-7.475 -1.425 0.0
-7.475 -1.375 0.0
-7.475 -1.325 0.0
-7.475 -1.275 0.0
-7.475 -1.225 0.0
-7.475 -1.175 0.0
-7.475 -1.125 0.0
-7.475 -1.075 0.0
-7.475 -1.025 0.0
-7.475 -0.975 0.0
-7.475 -0.925 0.0
-7.475 -0.875 0.0
-7.475 -0.825 0.0
-7.475 -0.775 0.0
-7.475 -0.725 0.0
-7.475 -0.675 0.0
-7.475 -0.625 0.0
-7.475 -0.575 0.0
-7.475 -0.525 0.0
-7.475 -0.475 0.0
-7.475 -0.425 0.0
-7.475 -0.375 0.0
-7.475 -0.325 0.0
-7.475 -0.275 0.0
-7.475 -0.225 0.0
-7.475 -0.175 0.0
-7.475 -0.125 0.0
-7.475 -0.075 0.0
-7.475 -0.025 0.0
-7.475 0.025 0.0
-7.475 0.075 0.0
-7.475 0.125 0.0
-7.475 0.175 0.0
-7.475 0.225 0.0
-7.475 0.275 0.0
-7.475 0.325 0.0
-7.475 0.375 0.0
-7.475 0.425 0.0
-7.475 0.475 0.0
-7.475 0.525 0.0
-7.475 0.575 0.0
-7.475 0.625 0.0
-7.475 0.675 3.5517182071073874e-14
-7.475 0.725 7.088819102019348e-14
-7.475 0.775 1.4148975569254633e-13
-7.475 0.825 2.824187438441228e-13
-7.475 0.875 5.637431985287199e-13
-7.475 0.925 1.1253572414961085e-12
-7.475 0.975 2.246585642741733e-12
-7.475 1.025 4.485195288120135e-12
-7.475 1.075 8.955050214627736e-12
-7.475 1.125 1.7880744338318086e-11
-7.475 1.175 3.570563576250064e-11
-7.475 1.225 7.130571152427883e-11
-7.475 1.275 1.4241344278763095e-10
-7.475 1.325 2.8445882826010057e-10
-7.475 1.375 5.682402865262017e-10
-7.475 1.425 1.1352481328589504e-09
-7.475 1.475 2.2682822698422855e-09
-7.475 1.525 4.532641003317145e-09
-7.475 1.575 9.058420952210321e-09
-7.475 1.625 1.8104967171874842e-08
-7.475 1.675 3.618941414226069e-08
-7.475 1.725 7.234273119108627e-08
-7.475 1.775 1.4461856302658938e-07
-7.475 1.825 2.89100600430599e-07
-7.475 1.875 5.778852154752943e-07
-7.475 1.925 1.1549493935119428e-06
-7.475 1.975 2.307599279540755e-06
-7.475 2.025 4.608539554167017e-06
-7.475 2.075 9.197678567941115e-06
-7.475 2.125 1.833928499871817e-05
-7.475 2.175 3.651876594062618e-05
-7.475 2.225 7.258936829860069e-05
-7.475 2.275 0.00014394243887230337
-7.475 2.325 0.00028452980285359773
-7.475 2.375 0.0005601017005990693
-7.475 2.425 0.001096678798523815
-7.475 2.475 0.002132638479119466
-7.475 2.525 0.004111445704612836
-7.475 2.575 0.007841086225845494
-7.475 2.625 0.014756178308052748
-7.475 2.675 0.027324707762274657
-7.475 2.725 0.04963333088417245
-7.475 2.775 0.08814843767372585
-7.475 2.825 0.1525717371177783
-7.475 2.875 0.25659317836116474
-7.475 2.925 0.41822878820572973
-7.475 2.975 0.6593865764759372
-7.475 3.025 1.0043905287924961
-7.475 3.075 1.4773990369722236
-7.475 3.125 2.09888147895298
-7.475 3.175 2.8814721812458366
-7.475 3.225 3.825672482284534
-7.475 3.275 4.916340661054051
-7.475 3.325 6.122218643922641
-7.475 3.375 7.403398490338563
-7.475 3.425 8.735623426353804
-7.475 3.475 10.164085816083794
-7.475 3.525 11.898228737423638
-7.475 3.575 14.444524193301003
-7.475 3.625 18.738415707572983
-7.475 3.675 26.184282304507423
-7.475 3.725 38.46607070264118
-7.475 3.775 56.91462847232142
-7.475 3.825 79.86799475041438
-7.475 3.875 0
-7.475 3.925 0
-7.475 3.975 0
-7.425 -1.975 0.0
-7.425 -1.925 0.0
-7.425 -1.875 0.0
-7.425 -1.825 0.0
-7.425 -1.775 0.0
-7.425 -1.725 0.0
-7.425 -1.675 0.0
-7.425 -1.625 0.0
-7.425 -1.575 0.0
-7.425 -1.525 0.0
-7.425 -1.475 0.0
-7.425 -1.425 0.0
-7.425 -1.375 0.0
-7.425 -1.325 0.0
-7.425 -1.275 0.0
-7.425 -1.225 0.0
-7.425 -1.175 0.0
-7.425 -1.125 0.0
-7.425 -1.075 0.0
-7.425 -1.025 0.0
-7.425 -0.975 0.0
-7.425 -0.925 0.0
-7.425 -0.875 0.0
-7.425 -0.825 0.0
-7.425 -0.775 0.0
-7.425 -0.725 0.0
-7.425 -0.675 0.0
-7.425 -0.625 0.0
-7.425 -0.575 0.0
-7.425 -0.525 0.0
-7.425 -0.475 0.0
-7.425 -0.425 0.0
-7.425 -0.375 0.0
-7.425 -0.325 0.0
-7.425 -0.275 0.0
-7.425 -0.225 0.0
-7.425 -0.175 0.0
-7.425 -0.125 0.0
-7.425 -0.075 0.0
-7.425 -0.025 0.0
-7.425 0.025 0.0
-7.425 0.075 0.0
-7.425 0.125 0.0
-7.425 0.175 0.0
-7.425 0.225 0.0
-7.425 0.275 0.0
-7.425 0.325 0.0
-7.425 0.375 0.0
-7.425 0.425 0.0
-7.425 0.475 0.0
-7.425 0.525 0.0
-7.425 0.575 0.0
-7.425 0.625 0.0
-7.425 0.675 4.471348306459247e-14
-7.425 0.725 8.924294507143408e-14
-7.425 0.775 1.7812504894987873e-13
-7.425 0.825 3.5554413339231244e-13
-7.425 0.875 7.097106383538266e-13
-7.425 0.925 1.4167408286657766e-12
-7.425 0.975 2.8282837554188504e-12
-7.425 1.025 5.6465263250722604e-12
-7.425 1.075 1.1273740279083566e-11
-7.425 1.125 2.2510523429292976e-11
-7.425 1.175 4.495073220565273e-11
-7.425 1.225 8.976857224391348e-11
-7.425 1.275 1.792879021062793e-10
-7.425 1.325 3.581124475054207e-10
-7.425 1.375 7.153721367119956e-10
-7.425 1.425 1.4291927231454031e-09
-7.425 1.475 2.8555981906200405e-09
-7.425 1.525 5.706256941599641e-09
-7.425 1.575 1.1403876327424696e-08
-7.425 1.625 2.279280325226774e-08
-7.425 1.675 4.555977310137174e-08
-7.425 1.725 9.107410265438975e-08
-7.425 1.775 1.8206398400966018e-07
-7.425 1.825 3.6395609244283025e-07
-7.425 1.875 7.275143828514206e-07
-7.425 1.925 1.4539951408018422e-06
-7.425 1.975 2.905095373184868e-06
-7.425 2.025 5.801807555831313e-06
-7.425 2.075 1.1579191278273684e-05
-7.425 2.125 2.3087791917964192e-05
-7.425 2.175 4.597440244737193e-05
-7.425 2.225 9.138460037059359e-05
-7.425 2.275 0.0001812127941155614
-7.425 2.325 0.00035820179918457035
-7.425 2.375 0.0007051262639734085
-7.425 2.425 0.0013806368077937073
-7.425 2.475 0.002684832774944222
-7.425 2.525 0.005176003475342017
-7.425 2.575 0.009871342702477711
-7.425 2.625 0.01857692784533882
-7.425 2.675 0.0343997689545521
-7.425 2.725 0.06248466148423616
-7.425 2.775 0.11097230811683012
-7.425 2.825 0.19207643681347247
-7.425 2.875 0.32303167240421204
-7.425 2.925 0.5265188487944471
-7.425 2.975 0.8301185161928433
-7.425 3.025 1.264452758103047
-7.425 3.075 1.8599351877549577
-7.425 3.125 2.642335225050986
-7.425 3.175 3.627558544576902
-7.425 3.225 4.8162362940151855
-7.425 3.275 6.18930617625335
-7.425 3.325 7.707416608848127
-7.425 3.375 9.320326472957769
-7.425 3.425 10.997498302243871
-7.425 3.475 12.795825915865741
-7.425 3.525 14.978982529025403
-7.425 3.575 18.18457861154716
-7.425 3.625 23.590267764606523
-7.425 3.675 32.964058377963475
-7.425 3.725 48.42591368117342
-7.425 3.775 71.65127139411764
-7.425 3.825 100.5478467071402
-7.425 3.875 0
-7.425 3.925 0
-7.425 3.975 0
-7.375 -1.975 0.0
-7.375 -1.925 0.0
-7.375 -1.875 0.0
-7.375 -1.825 0.0
-7.375 -1.775 0.0
-7.375 -1.725 0.0
-7.375 -1.675 0.0
-7.375 -1.625 0.0
-7.375 -1.575 0.0
-7.375 -1.525 0.0
-7.375 -1.475 0.0
-7.375 -1.425 0.0
-7.375 -1.375 0.0
-7.375 -1.325 0.0
-7.375 -1.275 0.0
-7.375 -1.225 0.0
-7.375 -1.175 0.0
-7.375 -1.125 0.0
-7.375 -1.075 0.0
-7.375 -1.025 0.0
-7.375 -0.975 0.0
-7.375 -0.925 0.0
-7.375 -0.875 0.0
-7.375 -0.825 0.0
-7.375 -0.775 0.0
-7.375 -0.725 0.0
-7.375 -0.675 0.0
-7.375 -0.625 0.0
-7.375 -0.575 0.0
-7.375 -0.525 0.0
-7.375 -0.475 0.0
-7.375 -0.425 0.0
-7.375 -0.375 0.0
-7.375 -0.325 0.0
-7.375 -0.275 0.0
-7.375 -0.225 0.0
-7.375 -0.175 0.0
-7.375 -0.125 0.0
-7.375 -0.075 0.0
-7.375 -0.025 0.0
-7.375 0.025 0.0
-7.375 0.075 0.0
-7.375 0.125 0.0
-7.375 0.175 0.0
-7.375 0.225 0.0
-7.375 0.275 0.0
-7.375 0.325 0.0
-7.375 0.375 0.0
-7.375 0.425 0.0
-7.375 0.475 0.0
-7.375 0.525 0.0
-7.375 0.575 0.0
-7.375 0.625 0.0
-7.375 0.675 5.6290940079839426e-14
-7.375 0.725 1.1235021137376911e-13
-7.375 0.775 2.2424615060005618e-13
-7.375 0.825 4.4760354454185227e-13
-7.375 0.875 8.93472757644128e-13
-7.375 0.925 1.7835710311332621e-12
-7.375 0.975 3.560598291460397e-12
-7.375 1.025 7.108555478995616e-12
-7.375 1.075 1.4192798123299252e-11
-7.375 1.125 2.8339069977908567e-11
-7.375 1.175 5.6589619052409525e-11
-7.375 1.225 1.1301193677823989e-10
-7.375 1.275 2.2571009598859987e-10
-7.375 1.325 4.508368604437247e-10
-7.375 1.375 9.006001617945778e-10
-7.375 1.425 1.799247037514918e-09
-7.375 1.475 3.5949851280346046e-09
-7.375 1.525 7.1837518699804496e-09
-7.375 1.575 1.4356629701486971e-08
-7.375 1.625 2.8694439220138708e-08
-7.375 1.675 5.735635611247565e-08
-7.375 1.725 1.1465550218691068e-07
-7.375 1.775 2.2920497603960203e-07
-7.375 1.825 4.5819357354692615e-07
-7.375 1.875 9.15886344000643e-07
-7.375 1.925 1.8304714313385088e-06
-7.375 1.975 3.6572983888820592e-06
-7.375 2.025 7.304042966109018e-06
-7.375 2.075 1.457733814757534e-05
-7.375 2.125 2.9065807946064876e-05
