0.01	0
0.02	0
0.03	0
0.04	0
0.05	0
0.06	0
0.07	0
0.08	0
0.09	0
0.1	0
0.11	6.79418e-7
0.12	0.000162015
0.13	0.00137004
0.14	0.00458326
0.15	0.00497827
0.16	0.00483677
0.17	0.00523636
0.18	0.00593898
0.19	0.00684149
0.2	0.00789877
0.21	0.00908746
0.22	0.0103934
0.23	0.0118068
0.24	0.0133201
0.25	0.0149269
0.26	0.0166219
0.27	0.0183999
0.28	0.0202565
0.29	0.0221873
0.3	0.0241881
0.31	0.0262549
0.32	0.028384
0.33	0.0305717
0.34	0.0328144
0.35	0.0351086
0.36	0.037451
0.37	0.0398382
0.38	0.0422672
0.39	0.0447349
0.4	0.0472382
0.41	0.0497743
0.42	0.0523404
0.43	0.0549336
0.44	0.0575515
0.45	0.0601914
0.46	0.0628509
0.47	0.0655276
0.48	0.0682192
0.49	0.0709235
0.5	0.0736354
0.51	0.0763429
0.52	0.0790446
0.53	0.0817401
0.54	0.0844289
0.55	0.0871096
0.56	0.0897592
0.57	0.0923699
0.58	0.0949446
0.59	0.097486
0.6	0.0999965
0.61	0.102478
0.62	0.104933
0.63	0.107363
0.64	0.109768
0.65	0.112151
0.66	0.114512
0.67	0.116853
0.68	0.119173
0.69	0.121474
0.7	0.123757
0.71	0.126021
0.72	0.128267
0.73	0.130495
0.74	0.132706
0.75	0.1349
0.76	0.137077
0.77	0.139237
0.78	0.141283
0.79	0.142648
0.8	0.143352
0.81	0.143532
0.82	0.143312
0.83	0.142798
0.84	0.14208
0.85	0.14123
0.86	0.140305
0.87	0.139348
0.88	0.138395
0.89	0.137468
0.9	0.136571
0.91	0.135637
0.92	0.134686
0.93	0.133744
0.94	0.132832
0.95	0.131964
0.96	0.131533
0.97	0.131711
0.98	0.131882
0.99	0.132049
1	0.132211
1.01	0.132369
1.02	0.132522
1.03	0.13267
1.04	0.132815
1.05	0.132955
1.06	0.133092
1.07	0.133225
1.08	0.133354
1.09	0.13348
1.1	0.133603
1.11	0.133723
1.12	0.133839
1.13	0.133952
1.14	0.134063
1.15	0.13417
1.16	0.134275
1.17	0.134378
1.18	0.134477
1.19	0.134575
1.2	0.13467
1.21	0.134763
1.22	0.134853
1.23	0.134942
1.24	0.135028
1.25	0.135112
1.26	0.135194
1.27	0.135275
1.28	0.135353
1.29	0.13543
1.3	0.135505
1.31	0.135579
1.32	0.135651
1.33	0.135721
1.34	0.135789
1.35	0.135857
1.36	0.135922
1.37	0.135987
1.38	0.13605
1.39	0.136111
1.4	0.136172
1.41	0.136231
1.42	0.136289
1.43	0.136345
1.44	0.136401
1.45	0.136455
1.46	0.136509
1.47	0.136561
1.48	0.136612
1.49	0.136662
1.5	0.136712
1.51	0.13676
1.52	0.136807
1.53	0.136854
1.54	0.136899
1.55	0.136944
1.56	0.136988
1.57	0.137031
1.58	0.137073
1.59	0.137115
1.6	0.137155
1.61	0.137195
1.62	0.137234
1.63	0.137273
1.64	0.137311
1.65	0.137348
1.66	0.137384
1.67	0.13742
1.68	0.137455
1.69	0.13749
1.7	0.137524
1.71	0.137558
1.72	0.13759
1.73	0.137623
1.74	0.137654
1.75	0.137686
1.76	0.137716
1.77	0.137746
1.78	0.137776
1.79	0.137805
1.8	0.137834
1.81	0.137862
1.82	0.13789
1.83	0.137917
1.84	0.137944
1.85	0.137971
1.86	0.137997
1.87	0.138022
1.88	0.138004
1.89	0.138026
1.9	0.138048
1.91	0.13807
1.92	0.138091
1.93	0.138112
1.94	0.138132
1.95	0.138151
1.96	0.13817
1.97	0.136986
1.98	0.136951
1.99	0.136916
2	0.136878
2.01	0.13684
2.02	0.136799
2.03	0.136758
2.04	0.136715
2.05	0.13667
2.06	0.136624
2.07	0.136576
2.08	0.136527
2.09	0.136477
2.1	0.136425
2.11	0.136372
2.12	0.136317
2.13	0.136261
2.14	0.136204
2.15	0.136145
2.16	0.136085
2.17	0.136024
2.18	0.135961
2.19	0.135897
2.2	0.135832
2.21	0.135765
2.22	0.135697
2.23	0.135628
2.24	0.135558
2.25	0.135487
2.26	0.135414
2.27	0.13534
2.28	0.135265
2.29	0.135189
2.3	0.135112
2.31	0.135033
2.32	0.134954
2.33	0.134873
2.34	0.134791
2.35	0.134709
2.36	0.134625
2.37	0.13454
2.38	0.134454
2.39	0.134367
2.4	0.13428
2.41	0.134191
2.42	0.134101
2.43	0.134011
2.44	0.133919
2.45	0.133827
2.46	0.133734
2.47	0.13364
2.48	0.133545
2.49	0.133449
2.5	0.133353
2.51	0.133256
2.52	0.133158
2.53	0.133059
2.54	0.132959
2.55	0.132859
2.56	0.132759
2.57	0.132657
2.58	0.132555
2.59	0.132452
2.6	0.132349
2.61	0.132245
2.62	0.132141
2.63	0.132036
2.64	0.13193
2.65	0.131824
2.66	0.131717
2.67	0.13161
2.68	0.131502
2.69	0.131394
2.7	0.131286
2.71	0.131177
2.72	0.131068
2.73	0.130958
2.74	0.130848
2.75	0.130737
2.76	0.130627
2.77	0.130515
2.78	0.130404
2.79	0.130292
2.8	0.13018
2.81	0.130068
2.82	0.129955
2.83	0.129843
2.84	0.129729
2.85	0.129616
2.86	0.129503
2.87	0.129389
2.88	0.129275
2.89	0.129161
2.9	0.129047
2.91	0.128933
2.92	0.128818
2.93	0.128704
2.94	0.128589
2.95	0.128474
2.96	0.12836
2.97	0.128245
2.98	0.12813
2.99	0.128068
3	0.127951
3.01	0.127834
3.02	0.127716
3.03	0.127599
3.04	0.127482
3.05	0.127365
3.06	0.127247
3.07	0.12713
3.08	0.127013
3.09	0.126896
