# log10(theta) log10(p/GeV) cross-section[pb/bin] 
-7.475 -1.975 0.0
-7.475 -1.925 0.0
-7.475 -1.875 0.0
-7.475 -1.825 0.0
-7.475 -1.775 0.0
-7.475 -1.725 0.0
-7.475 -1.675 0.0
-7.475 -1.625 0.0
-7.475 -1.575 0.0
-7.475 -1.525 0.0
-7.475 -1.475 0.0
-7.475 -1.425 0.0
-7.475 -1.375 0.0
-7.475 -1.325 0.0
-7.475 -1.275 0.0
-7.475 -1.225 0.0
-7.475 -1.175 0.0
-7.475 -1.125 0.0
-7.475 -1.075 0.0
-7.475 -1.025 0.0
-7.475 -0.975 0.0
-7.475 -0.925 0.0
-7.475 -0.875 0.0
-7.475 -0.825 0.0
-7.475 -0.775 0.0
-7.475 -0.725 0.0
-7.475 -0.675 0.0
-7.475 -0.625 0.0
-7.475 -0.575 0.0
-7.475 -0.525 0.0
-7.475 -0.475 0.0
-7.475 -0.425 0.0
-7.475 -0.375 0.0
-7.475 -0.325 0.0
-7.475 -0.275 0.0
-7.475 -0.225 0.0
-7.475 -0.175 0.0
-7.475 -0.125 0.0
-7.475 -0.075 0.0
-7.475 -0.025 0.0
-7.475 0.025 0.0
-7.475 0.075 0.0
-7.475 0.125 0.0
-7.475 0.175 0.0
-7.475 0.225 0.0
-7.475 0.275 0.0
-7.475 0.325 0.0
-7.475 0.375 0.0
-7.475 0.425 0.0
-7.475 0.475 0.0
-7.475 0.525 0.0
-7.475 0.575 0.0
-7.475 0.625 0.0
-7.475 0.675 6.4854027764883576e-15
-7.475 0.725 1.29443657113085e-14
-7.475 0.775 2.5836990235032795e-14
-7.475 0.825 5.157300644547673e-14
-7.475 0.875 1.0294959701652772e-13
-7.475 0.925 2.0551857429823025e-13
-7.475 0.975 4.1030288626911176e-13
-7.475 1.025 8.191968766058556e-13
-7.475 1.075 1.6357078171549575e-12
-7.475 1.125 3.2663354104744744e-12
-7.475 1.175 6.523155531396001e-12
-7.475 1.225 1.3028707558139562e-11
-7.475 1.275 2.6025364008869194e-11
-7.475 1.325 5.199360191314767e-11
-7.475 1.375 1.0388836239538442e-10
-7.475 1.425 2.0761305570817968e-10
-7.475 1.475 4.14973760593718e-10
-7.475 1.525 8.296078975742889e-10
-7.475 1.575 1.6588992923010993e-09
-7.475 1.625 3.317960882901656e-09
-7.475 1.675 6.637985192232161e-09
-7.475 1.725 1.3283885925489812e-08
-7.475 1.775 2.6591822939609708e-08
-7.475 1.825 5.324948794245118e-08
-7.475 1.875 1.0666869021457175e-07
-7.475 1.925 2.137576456141783e-07
-7.475 1.975 4.2852575901043757e-07
-7.475 2.025 8.594245049583983e-07
-7.475 2.075 1.724309847927499e-06
-7.475 2.125 3.4609521191584816e-06
-7.475 2.175 6.949235609674482e-06
-7.475 2.225 1.395782655173764e-05
-7.475 2.275 2.804155053203663e-05
-7.475 2.325 5.6342362935080146e-05
-7.475 2.375 0.00011319759827546436
-7.475 2.425 0.00022735044260672164
-7.475 2.475 0.0004563047377479574
-7.475 2.525 0.0009147510081704174
-7.475 2.575 0.0018304412068317099
-7.475 2.625 0.0036529052549239467
-7.475 2.675 0.007262075681528889
-7.475 2.725 0.01436121487665365
-7.475 2.775 0.0281985411417151
-7.475 2.825 0.05484823776695425
-7.475 2.875 0.10538200557974424
-7.475 2.925 0.19932379617720988
-7.475 2.975 0.3696711457648647
-7.475 3.025 0.6692526162786969
-7.475 3.075 1.17700043783348
-7.475 3.125 2.0008051908930136
-7.475 3.175 3.2716457378223356
-7.475 3.225 5.123385408153608
-7.475 3.275 7.656380839931009
-7.475 3.325 10.89245396176471
-7.475 3.375 14.7432977187337
-7.475 3.425 19.03161311441602
-7.475 3.475 23.620096415251798
-7.475 3.525 28.707063076710536
-7.475 3.575 35.31126410755657
-7.475 3.625 45.84749897767705
-7.475 3.675 64.4652387479676
-7.475 3.725 96.5401217731345
-7.475 3.775 146.26094462372106
-7.475 3.825 201.54112967907102
-7.475 3.875 0
-7.475 3.925 0
-7.475 3.975 0
-7.425 -1.975 0.0
-7.425 -1.925 0.0
-7.425 -1.875 0.0
-7.425 -1.825 0.0
-7.425 -1.775 0.0
-7.425 -1.725 0.0
-7.425 -1.675 0.0
-7.425 -1.625 0.0
-7.425 -1.575 0.0
-7.425 -1.525 0.0
-7.425 -1.475 0.0
-7.425 -1.425 0.0
-7.425 -1.375 0.0
-7.425 -1.325 0.0
-7.425 -1.275 0.0
-7.425 -1.225 0.0
-7.425 -1.175 0.0
-7.425 -1.125 0.0
-7.425 -1.075 0.0
-7.425 -1.025 0.0
-7.425 -0.975 0.0
-7.425 -0.925 0.0
-7.425 -0.875 0.0
-7.425 -0.825 0.0
-7.425 -0.775 0.0
-7.425 -0.725 0.0
-7.425 -0.675 0.0
-7.425 -0.625 0.0
-7.425 -0.575 0.0
-7.425 -0.525 0.0
-7.425 -0.475 0.0
-7.425 -0.425 0.0
-7.425 -0.375 0.0
-7.425 -0.325 0.0
-7.425 -0.275 0.0
-7.425 -0.225 0.0
-7.425 -0.175 0.0
-7.425 -0.125 0.0
-7.425 -0.075 0.0
-7.425 -0.025 0.0
-7.425 0.025 0.0
-7.425 0.075 0.0
-7.425 0.125 0.0
-7.425 0.175 0.0
-7.425 0.225 0.0
-7.425 0.275 0.0
-7.425 0.325 0.0
-7.425 0.375 0.0
-7.425 0.425 0.0
-7.425 0.475 0.0
-7.425 0.525 0.0
-7.425 0.575 0.0
-7.425 0.625 0.0
-7.425 0.675 8.164638361041233e-15
-7.425 0.725 1.629599093352233e-14
-7.425 0.775 3.252684357115802e-14
-7.425 0.825 6.492656837682868e-14
-7.425 0.875 1.2960586381805962e-13
-7.425 0.925 2.5873255577970926e-13
-7.425 0.975 5.165407300565758e-13
-7.425 1.025 1.0313077652212676e-12
-7.425 1.075 2.059234137286105e-12
-7.425 1.125 4.11207265168784e-12
-7.425 1.175 8.212166263556081e-12
-7.425 1.225 1.6402171027766478e-11
-7.425 1.275 3.276399210193325e-11
-7.425 1.325 6.545606669910729e-11
-7.425 1.375 1.307876994090695e-10
-7.425 1.425 2.6136935165085935e-10
-7.425 1.475 5.22421012438198e-10
-7.425 1.525 1.04441446407883e-09
-7.425 1.575 2.0884304746787273e-09
-7.425 1.625 4.177065270807568e-09
-7.425 1.675 8.35672824157328e-09
-7.425 1.725 1.6723421558870193e-08
-7.425 1.775 3.3477121644343904e-08
-7.425 1.825 6.703713353511832e-08
-7.425 1.875 1.342879247522568e-07
-7.425 1.925 2.6910493202477046e-07
-7.425 1.975 5.394819676159857e-07
-7.425 2.025 1.0819513487838613e-06
-7.425 2.075 2.170777485294867e-06
-7.425 2.125 4.357080571639454e-06
-7.425 2.175 8.748569301128746e-06
-7.425 2.225 1.7571862538295587e-05
-7.425 2.275 3.530222054810002e-05
-7.425 2.325 7.093083245243465e-05
-7.425 2.375 0.0001425073330051589
-7.425 2.425 0.00028621724953499376
-7.425 2.475 0.0005744536297586173
-7.425 2.525 0.0011516032893616505
-7.425 2.575 0.002304388949350239
-7.425 2.625 0.00459873525048315
-7.425 2.675 0.00914241161332283
-7.425 2.725 0.018079698341265875
-7.425 2.775 0.03549985999144496
-7.425 2.825 0.06904984025082263
-7.425 2.875 0.1326680846132262
-7.425 2.925 0.25093379181830366
-7.425 2.975 0.46538839858683334
-7.425 3.025 0.8425391237427199
-7.425 3.075 1.48175575710016
-7.425 3.125 2.518864491285014
-7.425 3.175 4.118757943331097
-7.425 3.225 6.449960058985056
-7.425 3.275 9.638812358725033
-7.425 3.325 13.7127870226359
-7.425 3.375 18.560712057315385
-7.425 3.425 23.95938125674382
-7.425 3.475 29.735939471715525
-7.425 3.525 36.140051077666314
-7.425 3.575 44.45424759876256
-7.425 3.625 57.718581389568854
-7.425 3.675 81.15692684785715
-7.425 3.725 121.53681139707746
-7.425 3.775 184.13161708925762
-7.425 3.825 253.72524423955224
-7.425 3.875 0
-7.425 3.925 0
-7.425 3.975 0
-7.375 -1.975 0.0
-7.375 -1.925 0.0
-7.375 -1.875 0.0
-7.375 -1.825 0.0
-7.375 -1.775 0.0
-7.375 -1.725 0.0
-7.375 -1.675 0.0
-7.375 -1.625 0.0
-7.375 -1.575 0.0
-7.375 -1.525 0.0
-7.375 -1.475 0.0
-7.375 -1.425 0.0
-7.375 -1.375 0.0
-7.375 -1.325 0.0
-7.375 -1.275 0.0
-7.375 -1.225 0.0
-7.375 -1.175 0.0
-7.375 -1.125 0.0
-7.375 -1.075 0.0
-7.375 -1.025 0.0
-7.375 -0.975 0.0
-7.375 -0.925 0.0
-7.375 -0.875 0.0
-7.375 -0.825 0.0
-7.375 -0.775 0.0
-7.375 -0.725 0.0
-7.375 -0.675 0.0
-7.375 -0.625 0.0
-7.375 -0.575 0.0
-7.375 -0.525 0.0
-7.375 -0.475 0.0
-7.375 -0.425 0.0
-7.375 -0.375 0.0
-7.375 -0.325 0.0
-7.375 -0.275 0.0
-7.375 -0.225 0.0
-7.375 -0.175 0.0
-7.375 -0.125 0.0
-7.375 -0.075 0.0
-7.375 -0.025 0.0
-7.375 0.025 0.0
-7.375 0.075 0.0
-7.375 0.125 0.0
-7.375 0.175 0.0
-7.375 0.225 0.0
-7.375 0.275 0.0
-7.375 0.325 0.0
-7.375 0.375 0.0
-7.375 0.425 0.0
-7.375 0.475 0.0
-7.375 0.525 0.0
-7.375 0.575 0.0
-7.375 0.625 0.0
-7.375 0.675 1.0278670710823646e-14
-7.375 0.725 2.0515437096577017e-14
-7.375 0.775 4.0948869937180526e-14
-7.375 0.825 8.173770683017105e-14
-7.375 0.875 1.6316411547806393e-13
-7.375 0.925 3.2572498932946386e-13
-7.375 0.975 6.502862512947739e-13
-7.375 1.025 1.2983395530173047e-12
-7.375 1.075 2.592422184262503e-12
-7.375 1.125 5.176792756351106e-12
-7.375 1.175 1.0338504795063108e-11
-7.375 1.225 2.0649109915433198e-11
-7.375 1.275 4.124742224890673e-11
-7.375 1.325 8.240430572349832e-11
-7.375 1.375 1.646519583359187e-10
-7.375 1.425 3.2904451865678856e-10
-7.375 1.475 6.576890882120631e-10
-7.375 1.525 1.3148399092701432e-09
-7.375 1.575 2.6291781953281257e-09
-7.375 1.625 5.2586136161166334e-09
-7.375 1.675 1.0520497542709318e-08
-7.375 1.725 2.105354037244358e-08
-7.375 1.775 4.214519915137411e-08
-7.375 1.825 8.439475094015246e-08
-7.375 1.875 1.6905848096507638e-07
-7.375 1.925 3.387830373584523e-07
-7.375 1.975 6.791675582196226e-07
-7.375 2.025 1.3620960472663612e-06
-7.375 2.075 2.7328469394805786e-06
-7.375 2.125 5.4852394525989226e-06
