# log10(theta) log10(p/GeV) cross-section[pb/bin] 
-7.475 -1.975 0.0
-7.475 -1.925 0.0
-7.475 -1.875 0.0
-7.475 -1.825 0.0
-7.475 -1.775 0.0
-7.475 -1.725 0.0
-7.475 -1.675 0.0
-7.475 -1.625 0.0
-7.475 -1.575 0.0
-7.475 -1.525 0.0
-7.475 -1.475 0.0
-7.475 -1.425 0.0
-7.475 -1.375 0.0
-7.475 -1.325 0.0
-7.475 -1.275 0.0
-7.475 -1.225 0.0
-7.475 -1.175 0.0
-7.475 -1.125 0.0
-7.475 -1.075 0.0
-7.475 -1.025 0.0
-7.475 -0.975 0.0
-7.475 -0.925 0.0
-7.475 -0.875 0.0
-7.475 -0.825 0.0
-7.475 -0.775 0.0
-7.475 -0.725 0.0
-7.475 -0.675 0.0
-7.475 -0.625 0.0
-7.475 -0.575 0.0
-7.475 -0.525 0.0
-7.475 -0.475 0.0
-7.475 -0.425 0.0
-7.475 -0.375 0.0
-7.475 -0.325 0.0
-7.475 -0.275 0.0
-7.475 -0.225 0.0
-7.475 -0.175 0.0
-7.475 -0.125 0.0
-7.475 -0.075 0.0
-7.475 -0.025 0.0
-7.475 0.025 0.0
-7.475 0.075 0.0
-7.475 0.125 0.0
-7.475 0.175 0.0
-7.475 0.225 0.0
-7.475 0.275 0.0
-7.475 0.325 0.0
-7.475 0.375 0.0
-7.475 0.425 0.0
-7.475 0.475 0.0
-7.475 0.525 0.0
-7.475 0.575 0.0
-7.475 0.625 0.0
-7.475 0.675 0.0
-7.475 0.725 1.786639174444594e-14
-7.475 0.775 3.566137101075221e-14
-7.475 0.825 7.118338073519622e-14
-7.475 0.875 1.420956785018551e-13
-7.475 0.925 2.8366605630286437e-13
-7.475 0.975 5.663187705470716e-13
-7.475 1.025 1.1306932202024433e-12
-7.475 1.075 2.2576799451049633e-12
-7.475 1.125 4.508349830376472e-12
-7.475 1.175 9.003570983502095e-12
-7.475 1.225 1.798285675125734e-11
-7.475 1.275 3.5921505082062805e-11
-7.475 1.325 7.176423736510491e-11
-7.475 1.375 1.4339223820004352e-10
-7.475 1.425 2.8655904714375e-10
-7.475 1.475 5.72770978819904e-10
-7.475 1.525 1.1450761826204681e-09
-7.475 1.575 2.2897230166575617e-09
-7.475 1.625 4.579688877853573e-09
-7.475 1.675 9.162273057156727e-09
-7.475 1.725 1.833559011348588e-08
-7.475 1.775 3.670467421183549e-08
-7.475 1.825 7.350097304535963e-08
-7.475 1.875 1.4723806517423312e-07
-7.475 1.925 2.95060890922923e-07
-7.475 1.975 5.915282295676482e-07
-7.475 2.025 1.1863611961808869e-06
-7.475 2.075 2.380333337786863e-06
-7.475 2.125 4.777872579560125e-06
-7.475 2.175 9.593929044100168e-06
-7.475 2.225 1.927093016431569e-05
-7.475 2.275 3.871848682718542e-05
-7.475 2.325 7.780192189858871e-05
-7.475 2.375 0.00015632935506123904
-7.475 2.425 0.00031402078849296903
-7.475 2.475 0.0006303628722026768
-7.475 2.525 0.001263946159798257
-7.475 2.575 0.0025298369500815925
-7.475 2.625 0.005050246156581663
-7.475 2.675 0.010043976940844862
-7.475 2.725 0.019872392372766643
-7.475 2.775 0.03904424279366798
-7.475 2.825 0.07600508128416099
-7.475 2.875 0.14618591484712712
-7.475 2.925 0.276894486614477
-7.475 2.975 0.5145351675548505
-7.475 3.025 0.9340438719879204
-7.475 3.075 1.6489774167922377
-7.475 3.125 2.8183238247637927
-7.475 3.175 4.643519861636622
-7.475 3.225 7.348184387665067
-7.475 3.275 11.135898386515999
-7.475 3.325 16.128917405827345
-7.475 3.375 22.302082090680155
-7.475 3.425 29.441607751872926
-7.475 3.475 37.18432422801411
-7.475 3.525 45.24240553515239
-7.475 3.575 53.99764471743219
-7.475 3.625 65.71679971092054
-7.475 3.675 86.52958870847795
-7.475 3.725 128.62961703692687
-7.475 3.775 209.97790657709828
-7.475 3.825 329.3462396136397
-7.475 3.875 0
-7.475 3.925 0
-7.475 3.975 0
-7.425 -1.975 0.0
-7.425 -1.925 0.0
-7.425 -1.875 0.0
-7.425 -1.825 0.0
-7.425 -1.775 0.0
-7.425 -1.725 0.0
-7.425 -1.675 0.0
-7.425 -1.625 0.0
-7.425 -1.575 0.0
-7.425 -1.525 0.0
-7.425 -1.475 0.0
-7.425 -1.425 0.0
-7.425 -1.375 0.0
-7.425 -1.325 0.0
-7.425 -1.275 0.0
-7.425 -1.225 0.0
-7.425 -1.175 0.0
-7.425 -1.125 0.0
-7.425 -1.075 0.0
-7.425 -1.025 0.0
-7.425 -0.975 0.0
-7.425 -0.925 0.0
-7.425 -0.875 0.0
-7.425 -0.825 0.0
-7.425 -0.775 0.0
-7.425 -0.725 0.0
-7.425 -0.675 0.0
-7.425 -0.625 0.0
-7.425 -0.575 0.0
-7.425 -0.525 0.0
-7.425 -0.475 0.0
-7.425 -0.425 0.0
-7.425 -0.375 0.0
-7.425 -0.325 0.0
-7.425 -0.275 0.0
-7.425 -0.225 0.0
-7.425 -0.175 0.0
-7.425 -0.125 0.0
-7.425 -0.075 0.0
-7.425 -0.025 0.0
-7.425 0.025 0.0
-7.425 0.075 0.0
-7.425 0.125 0.0
-7.425 0.175 0.0
-7.425 0.225 0.0
-7.425 0.275 0.0
-7.425 0.325 0.0
-7.425 0.375 0.0
-7.425 0.425 0.0
-7.425 0.475 0.0
-7.425 0.525 0.0
-7.425 0.575 0.0
-7.425 0.625 0.0
-7.425 0.675 0.0
-7.425 0.725 2.2492454584151652e-14
-7.425 0.775 4.4895006184853675e-14
-7.425 0.825 8.96145669049526e-14
-7.425 0.875 1.7888786057210608e-13
-7.425 0.925 3.5711440674307775e-13
-7.425 0.975 7.129530914176547e-13
-7.425 1.025 1.4234584278560232e-12
-7.425 1.075 2.842250654590169e-12
-7.425 1.125 5.675676166717535e-12
-7.425 1.175 1.1334824308020047e-11
-7.425 1.225 2.2639075340803774e-11
-7.425 1.275 4.522249557768113e-11
-7.425 1.325 9.034582207690598e-11
-7.425 1.375 1.8052013252394376e-10
-7.425 1.425 3.6075646642845357e-10
-7.425 1.475 7.210759403737504e-10
-7.425 1.525 1.4415655047390363e-09
-7.425 1.575 2.8825904916348406e-09
-7.425 1.625 5.76548670642747e-09
-7.425 1.675 1.15346183814176e-08
-7.425 1.725 2.308314033402346e-08
-7.425 1.775 4.620844709668934e-08
-7.425 1.825 9.25322427578553e-08
-7.425 1.875 1.853617418298696e-07
-7.425 1.925 3.714596536060141e-07
-7.425 1.975 7.446899199875322e-07
-7.425 2.025 1.4935402574164173e-06
-7.425 2.075 2.996662127424502e-06
-7.425 2.125 6.01498520458059e-06
-7.425 2.175 1.2078041072207913e-05
-7.425 2.225 2.4260663691856547e-05
-7.425 2.275 4.874368697065408e-05
-7.425 2.325 9.794681655871587e-05
-7.425 2.375 0.00019680699768119664
-7.425 2.425 0.00039532875042802405
-7.425 2.475 0.0007935798383729644
-7.425 2.525 0.0015912139394712276
-7.425 2.575 0.0031848760235538443
-7.425 2.625 0.006357883220834152
-7.425 2.675 0.012644617802561786
-7.425 2.725 0.02501785974196806
-7.425 2.775 0.04915378941456524
-7.425 2.825 0.09568472819941987
-7.425 2.875 0.18403716291756722
-7.425 2.925 0.3485895052828949
-7.425 2.975 0.6477613970137538
-7.425 3.025 1.175891564680272
-7.425 3.075 2.0759395703198167
-7.425 3.125 3.5480594752939045
-7.425 3.175 5.845845141757774
-7.425 3.225 9.250816033936923
-7.425 3.275 14.019265423789706
-7.425 3.325 20.305103925532194
-7.425 3.375 28.076657787880688
-7.425 3.425 37.06478803624608
-7.425 3.475 46.81229053500084
-7.425 3.525 56.9568138562246
-7.425 3.575 67.9790069859155
-7.425 3.625 82.7325490870064
-7.425 3.675 108.93429804135685
-7.425 3.725 161.9350930435597
-7.425 3.775 264.34652002742934
-7.425 3.825 414.62234345859287
-7.425 3.875 0
-7.425 3.925 0
-7.425 3.975 0
-7.375 -1.975 0.0
-7.375 -1.925 0.0
-7.375 -1.875 0.0
-7.375 -1.825 0.0
-7.375 -1.775 0.0
-7.375 -1.725 0.0
-7.375 -1.675 0.0
-7.375 -1.625 0.0
-7.375 -1.575 0.0
-7.375 -1.525 0.0
-7.375 -1.475 0.0
-7.375 -1.425 0.0
-7.375 -1.375 0.0
-7.375 -1.325 0.0
-7.375 -1.275 0.0
-7.375 -1.225 0.0
-7.375 -1.175 0.0
-7.375 -1.125 0.0
-7.375 -1.075 0.0
-7.375 -1.025 0.0
-7.375 -0.975 0.0
-7.375 -0.925 0.0
-7.375 -0.875 0.0
-7.375 -0.825 0.0
-7.375 -0.775 0.0
-7.375 -0.725 0.0
-7.375 -0.675 0.0
-7.375 -0.625 0.0
-7.375 -0.575 0.0
-7.375 -0.525 0.0
-7.375 -0.475 0.0
-7.375 -0.425 0.0
-7.375 -0.375 0.0
-7.375 -0.325 0.0
-7.375 -0.275 0.0
-7.375 -0.225 0.0
-7.375 -0.175 0.0
-7.375 -0.125 0.0
-7.375 -0.075 0.0
-7.375 -0.025 0.0
-7.375 0.025 0.0
-7.375 0.075 0.0
-7.375 0.125 0.0
-7.375 0.175 0.0
-7.375 0.225 0.0
-7.375 0.275 0.0
-7.375 0.325 0.0
-7.375 0.375 0.0
-7.375 0.425 0.0
-7.375 0.475 0.0
-7.375 0.525 0.0
-7.375 0.575 0.0
-7.375 0.625 0.0
-7.375 0.675 0.0
-7.375 0.725 2.831632264961338e-14
-7.375 0.775 5.651946414876521e-14
-7.375 0.825 1.1281805554356489e-13
-7.375 0.875 2.2520647353569522e-13
-7.375 0.925 4.495804015666054e-13
-7.375 0.975 8.975547642027621e-13
-7.375 1.025 1.7920279874601881e-12
-7.375 1.075 3.578181575751336e-12
-7.375 1.125 7.145252955393109e-12
-7.375 1.175 1.4269698359583377e-11
-7.375 1.225 2.850090724604726e-11
-7.375 1.275 5.693174886745862e-11
-7.375 1.325 1.1373865126196737e-10
-7.375 1.375 2.2726138217463182e-10
-7.375 1.425 4.54165483055317e-10
-7.375 1.475 9.077808251685494e-10
-7.375 1.525 1.8148234466784842e-09
-7.375 1.575 3.6289664217068416e-09
-7.375 1.625 7.258317726061591e-09
-7.375 1.675 1.4521224195660778e-08
-7.375 1.725 2.9059951950377046e-08
-7.375 1.775 5.817298828922557e-08
-7.375 1.825 1.1649119181730541e-07
-7.375 1.875 2.333566071618682e-07
-7.375 1.925 4.676399973753536e-07
-7.375 1.975 9.375090641653337e-07
-7.375 2.025 1.8802557835639014e-06
-7.375 2.075 3.772574102686794e-06
-7.375 2.125 7.572417725387062e-06
-7.375 2.175 1.5205352829925782e-05
-7.375 2.225 3.054236602722616e-05
