#      mass       lower
 3.4370e-02  3.4803e-04
 3.4578e-02  3.2757e-04
 3.4787e-02  2.8102e-04
 3.4997e-02  2.9226e-04
 3.5208e-02  2.8152e-04
 3.5421e-02  2.7361e-04
 3.5635e-02  2.4066e-04
 3.5850e-02  2.3306e-04
 3.6139e-02  2.0354e-04
 3.6357e-02  2.8864e-04
 3.6577e-02  3.6260e-04
 3.6798e-02  3.7176e-04
 3.7020e-02  3.6584e-04
 3.7169e-02  4.8140e-04
 3.7394e-02  5.3474e-04
 3.7620e-02  5.4925e-04
 3.7923e-02  4.8226e-04
 3.8152e-02  4.2949e-04
 3.8382e-02  4.5227e-04
 3.8614e-02  4.0931e-04
 3.8847e-02  4.9002e-04
 3.9082e-02  4.7626e-04
 3.9318e-02  4.5959e-04
 3.9556e-02  4.8226e-04
 3.9795e-02  4.6536e-04
 4.0035e-02  4.5067e-04
 4.0277e-02  4.6288e-04
 4.0520e-02  4.9265e-04
 4.0765e-02  4.8485e-04
 4.1011e-02  5.1329e-04
 4.1259e-02  6.0044e-04
 4.1508e-02  4.8399e-04
 4.1759e-02  3.1330e-04
 4.2011e-02  2.6545e-04
 4.2265e-02  2.6735e-04
 4.2520e-02  2.8153e-04
 4.2777e-02  3.0997e-04
 4.3035e-02  5.1238e-04
 4.3295e-02  5.8564e-04
 4.3557e-02  5.7429e-04
 4.3820e-02  5.6314e-04
 4.4085e-02  5.5811e-04
 4.4351e-02  4.7627e-04
 4.4619e-02  4.2493e-04
 4.4889e-02  3.4311e-04
 4.5160e-02  4.1151e-04
 4.5432e-02  3.8388e-04
 4.5707e-02  3.9288e-04
 4.5983e-02  4.4035e-04
 4.6261e-02  3.8939e-04
 4.6540e-02  4.8916e-04
 4.6821e-02  4.6453e-04
 4.7104e-02  4.3489e-04
 4.7389e-02  4.4271e-04
 4.7675e-02  4.3103e-04
 4.7963e-02  5.2627e-04
 4.8253e-02  5.2531e-04
 4.8544e-02  5.3096e-04
 4.8837e-02  5.3001e-04
 4.9034e-02  5.6616e-04
 4.9330e-02  5.7942e-04
 4.9628e-02  5.0966e-04
 4.9928e-02  4.7204e-04
 5.0229e-02  5.9829e-04
 5.0533e-02  5.6716e-04
 5.0838e-02  5.6817e-04
 5.1145e-02  4.2569e-04
 5.1454e-02  3.2933e-04
 5.1765e-02  3.8048e-04
 5.2078e-02  3.1554e-04
 5.2392e-02  3.1611e-04
 5.2709e-02  2.8003e-04
 5.3027e-02  3.8732e-04
 5.3347e-02  4.7969e-04
 5.3670e-02  3.8526e-04
 5.3994e-02  3.0722e-04
 5.4211e-02  3.6325e-04
 5.4539e-02  3.0234e-04
 5.4868e-02  4.0425e-04
 5.5199e-02  3.5747e-04
 5.5533e-02  4.2191e-04
 5.5868e-02  4.5796e-04
 5.6206e-02  4.4747e-04
 5.6545e-02  4.9003e-04
 5.6887e-02  3.5178e-04
 5.7231e-02  3.0667e-04
 5.7576e-02  3.2816e-04
 5.7808e-02  4.4271e-04
 5.8157e-02  4.2950e-04
 5.8508e-02  5.2441e-04
 5.8862e-02  5.1881e-04
 5.9217e-02  5.9830e-04
 5.9575e-02  5.7838e-04
 5.9935e-02  4.2722e-04
 6.0297e-02  4.2042e-04
 6.0540e-02  4.1006e-04
 6.0905e-02  5.3002e-04
 6.1273e-02  4.6870e-04
 6.1643e-02  4.0933e-04
 6.2016e-02  4.5796e-04
 6.2390e-02  4.7628e-04
 6.2767e-02  4.3879e-04
 6.3146e-02  5.3859e-04
 6.3528e-02  5.0603e-04
 6.3783e-02  4.1818e-04
 6.4169e-02  4.1299e-04
 6.4556e-02  4.3801e-04
 6.4946e-02  2.9647e-04
 6.5339e-02  2.2292e-04
 6.5733e-02  2.3059e-04
 6.6130e-02  2.9020e-04
 6.6530e-02  3.7310e-04
 6.6797e-02  3.3948e-04
 6.7201e-02  5.0603e-04
 6.7607e-02  5.8255e-04
 6.8015e-02  6.3570e-04
 6.8426e-02  6.5060e-04
 6.8839e-02  6.7904e-04
 6.9255e-02  7.4100e-04
 6.9534e-02  6.3911e-04
 6.9954e-02  5.7226e-04
 7.0376e-02  5.9304e-04
 7.0802e-02  5.9304e-04
 7.1229e-02  5.3956e-04
 7.1659e-02  5.0245e-04
 7.1948e-02  4.6290e-04
 7.2382e-02  4.9268e-04
 7.2820e-02  4.8746e-04
 7.3260e-02  4.0643e-04
 7.3702e-02  4.7714e-04
 7.4147e-02  4.6955e-04
 7.4595e-02  6.1565e-04
 7.4895e-02  5.4636e-04
 7.5348e-02  5.5125e-04
 7.5803e-02  7.2531e-04
 7.6261e-02  6.5645e-04
 7.6721e-02  6.8513e-04
 7.7185e-02  5.8673e-04
 7.7495e-02  6.7541e-04
 7.7963e-02  6.5176e-04
 7.8434e-02  4.9446e-04
 7.8908e-02  5.9727e-04
 7.9385e-02  6.1896e-04
 7.9704e-02  7.2278e-04
 8.0186e-02  7.1377e-04
 8.0670e-02  6.4947e-04
 8.1157e-02  6.0369e-04
 8.1648e-02  4.7461e-04
 8.1976e-02  5.4441e-04
 8.2471e-02  3.5306e-04
 8.2969e-02  3.4436e-04
 8.3471e-02  3.4498e-04
 8.3975e-02  4.0935e-04
 8.4482e-02  4.5231e-04
 8.4822e-02  3.6718e-04
 8.5334e-02  4.8489e-04
 8.5850e-02  5.6721e-04
 8.6368e-02  7.2408e-04
 8.6716e-02  6.6944e-04
 8.7240e-02  6.1457e-04
 8.7767e-02  7.0498e-04
 8.8297e-02  7.1379e-04
 8.8830e-02  7.1638e-04
 8.9367e-02  6.7184e-04
 8.9726e-02  5.6118e-04
 9.0268e-02  7.0877e-04
 9.0814e-02  7.9295e-04
 9.1362e-02  7.2668e-04
 9.1730e-02  8.1010e-04
 9.2284e-02  6.6232e-04
 9.2841e-02  8.0292e-04
 9.3402e-02  6.8885e-04
 9.3966e-02  7.9866e-04
 9.4344e-02  8.9994e-04
 9.4914e-02  8.4252e-04
 9.5488e-02  1.0086e-03
 9.6064e-02  1.0415e-03
 9.6645e-02  1.2206e-03
 9.7033e-02  1.2470e-03
 9.7620e-02  1.2403e-03
 9.8209e-02  1.2514e-03
 9.8802e-02  1.2740e-03
 9.9200e-02  1.1821e-03
 9.9799e-02  1.0546e-03
 1.0040e-01  9.2763e-04
 1.0101e-01  9.6303e-04
 1.0162e-01  1.1326e-03
 1.0203e-01  1.0546e-03
 1.0264e-01  9.3593e-04
 1.0326e-01  9.8032e-04
 1.0389e-01  1.0794e-03
 1.0431e-01  1.0069e-03
 1.0494e-01  1.0910e-03
 1.0557e-01  1.2854e-03
 1.0621e-01  1.4432e-03
 1.0663e-01  1.6090e-03
 1.0728e-01  1.7034e-03
 1.0793e-01  1.8325e-03
 1.0858e-01  1.8098e-03
 1.0923e-01  1.9229e-03
 1.0967e-01  1.8889e-03
 1.1034e-01  1.8589e-03
 1.1100e-01  1.9505e-03
 1.1167e-01  2.1323e-03
 1.1212e-01  2.2255e-03
 1.1280e-01  2.2215e-03
 1.1348e-01  2.5438e-03
 1.1417e-01  2.5302e-03
 1.1463e-01  2.2374e-03
 1.1532e-01  2.3145e-03
 1.1602e-01  2.5941e-03
 1.1672e-01  2.8562e-03
 1.1719e-01  3.3532e-03
 1.1789e-01  2.4071e-03
 1.1861e-01  4.0073e-03
 1.1861e-01  1
