#      mass       lower
 1.2129e-01  3.6736e-04
 1.2186e-01  4.1402e-04
 1.2243e-01  4.5106e-04
 1.2301e-01  4.8441e-04
 1.2358e-01  5.1227e-04
 1.2415e-01  5.2233e-04
 1.2473e-01  5.1179e-04
 1.2530e-01  4.9700e-04
 1.2588e-01  4.7820e-04
 1.2645e-01  4.4829e-04
 1.2703e-01  4.3439e-04
 1.2761e-01  4.1801e-04
 1.2819e-01  4.1052e-04
 1.2877e-01  3.9664e-04
 1.2935e-01  3.8985e-04
 1.2993e-01  3.9688e-04
 1.3051e-01  4.1802e-04
 1.3109e-01  4.5778e-04
 1.3167e-01  4.8761e-04
 1.3225e-01  5.0475e-04
 1.3284e-01  4.9848e-04
 1.3342e-01  4.7752e-04
 1.3401e-01  4.6183e-04
 1.3459e-01  4.7073e-04
 1.3518e-01  4.7143e-04
 1.3577e-01  4.6285e-04
 1.3635e-01  4.4370e-04
 1.3694e-01  4.1907e-04
 1.3753e-01  4.0423e-04
 1.3812e-01  4.0905e-04
 1.3871e-01  4.1877e-04
 1.3930e-01  4.1842e-04
 1.3990e-01  4.0091e-04
 1.4049e-01  3.6491e-04
 1.4108e-01  3.3252e-04
 1.4167e-01  3.0485e-04
 1.4227e-01  2.7526e-04
 1.4286e-01  2.5311e-04
 1.4346e-01  2.4353e-04
 1.4406e-01  2.4109e-04
 1.4465e-01  2.4863e-04
 1.4525e-01  2.6368e-04
 1.4585e-01  2.7877e-04
 1.4645e-01  2.9858e-04
 1.4705e-01  3.2698e-04
 1.4765e-01  3.6035e-04
 1.4825e-01  3.8606e-04
 1.4885e-01  3.9280e-04
 1.4946e-01  3.6128e-04
 1.5006e-01  3.1299e-04
 1.5067e-01  2.7361e-04
 1.5127e-01  2.7014e-04
 1.5188e-01  2.9253e-04
 1.5248e-01  3.2952e-04
 1.5309e-01  3.6346e-04
 1.5370e-01  3.6368e-04
 1.5431e-01  3.6252e-04
 1.5492e-01  3.6630e-04
 1.5553e-01  3.8958e-04
 1.5614e-01  4.2455e-04
 1.5675e-01  4.6353e-04
 1.5736e-01  4.9465e-04
 1.5797e-01  5.0284e-04
 1.5859e-01  4.8642e-04
 1.5920e-01  4.6221e-04
 1.5981e-01  4.3588e-04
 1.6043e-01  4.2082e-04
 1.6105e-01  3.9038e-04
 1.6166e-01  3.5203e-04
 1.6228e-01  3.2768e-04
 1.6290e-01  3.1354e-04
 1.6352e-01  2.9775e-04
 1.6414e-01  2.8182e-04
 1.6476e-01  2.7383e-04
 1.6538e-01  2.6451e-04
 1.6600e-01  2.6830e-04
 1.6662e-01  2.7468e-04
 1.6725e-01  2.8060e-04
 1.6787e-01  2.9735e-04
 1.6850e-01  3.1218e-04
 1.6912e-01  3.3908e-04
 1.6975e-01  3.7432e-04
 1.7038e-01  4.1242e-04
 1.7100e-01  4.5304e-04
 1.7163e-01  4.8795e-04
 1.7226e-01  5.1902e-04
 1.7289e-01  5.2702e-04
 1.7352e-01  5.2573e-04
 1.7415e-01  5.0873e-04
 1.7479e-01  4.9432e-04
 1.7542e-01  4.8551e-04
 1.7605e-01  4.8512e-04
 1.7669e-01  4.8450e-04
 1.7732e-01  4.8326e-04
 1.7795e-01  4.4940e-04
 1.7859e-01  4.1596e-04
 1.7923e-01  3.8352e-04
 1.7987e-01  3.4716e-04
 1.8050e-01  3.2597e-04
 1.8114e-01  3.1242e-04
