#      mass       lower
0.0000010365152491278205 0.000002072123056858077
0.0000017777120247405494 0.000002072123056858077
0.0000028485794433723305 0.000002069672112468211
0.000004194940427835828 0.0000020784388211533096
0.000006138636233720919 0.000002069672112468211
0.000009390919606440054 0.000002060942381143421
0.000013568772912714518 0.000002060942381143421
0.000020757374823619463 0.000002069672112468211
0.00003135383235235688 0.000002087242663827265
0.00004706012801001888 0.000002104962380976016
0.00007337531320180704 0.000002122832530262469
0.000113680125380879 0.0000021681744517454593
0.00018065169778754445 0.0000022144848386229034
0.0002593602819191174 0.0000022809858714214014
0.0003868094697899135 0.000002359435866276567
0.0005345779192920382 0.000002492712819545274
0.0007625889046925696 0.000002701161205673144
0.0010605834237357656 0.000002939439040124008
0.001456357698617899 0.000003322765492578152
0.0019373994549290229 0.0000037087523295448994
0.0025772667078263543 0.000004227994962462639
0.003385127089707471 0.000004943736063177414
0.00453157369560487 0.000005879208776944043
0.005876788833036413 0.0000070510514612787544
0.00781689689857255 0.000008784360802276957
0.010530232505035281 0.00001099011265194903
0.01445685306724629 0.000014711782181027308
0.020748494264078286 0.00002019959279773708
0.02996646172016551 0.000028809864946992998
0.04355542600288122 0.00004091703282646997
0.0586690007456791 0.00005500510174676234
0.08003340297720546 0.00007616434229997207
0.1084854730779814 0.00010680891740053492
0.14798242510954673 0.00015493477714435407
0.21101676612771816 0.00023444840774318042
0.29710661556048956 0.00035476899961653044
0.4209585882618749 0.0005623888658505027
0.6314064428642927 0.0009992901412376343
9.73791577798272e-7 0.0010077736486702562
