# Mass (A')	 ctau (m)
1.000e-02	7.792e-03
1.259e-02	6.189e-03
1.585e-02	4.916e-03
1.995e-02	3.906e-03
2.512e-02	3.102e-03
3.162e-02	2.464e-03
3.981e-02	1.957e-03
5.012e-02	1.555e-03
6.310e-02	1.235e-03
7.943e-02	9.810e-04
1.000e-01	7.792e-04
1.259e-01	6.190e-04
1.585e-01	4.916e-04
1.995e-01	3.905e-04
2.512e-01	3.102e-04
3.162e-01	2.464e-04
3.981e-01	1.957e-04
5.012e-01	1.555e-04
6.310e-01	1.235e-04
7.943e-01	9.810e-05
1.000e+00	7.792e-05
1.259e+00	6.189e-05
1.585e+00	4.916e-05
