# Mass (A')	 ctau (m)
1.000e-02	3.207e+00
1.259e-02	2.547e+00
1.585e-02	2.023e+00
1.995e-02	1.607e+00
2.512e-02	1.277e+00
3.162e-02	1.014e+00
3.981e-02	8.055e-01
5.012e-02	6.398e-01
6.310e-02	5.082e-01
7.943e-02	4.037e-01
1.000e-01	3.207e-01
1.259e-01	2.547e-01
1.585e-01	2.023e-01
1.995e-01	1.607e-01
2.512e-01	1.277e-01
3.162e-01	1.014e-01
3.981e-01	8.055e-02
5.012e-01	6.398e-02
6.310e-01	5.082e-02
7.943e-01	4.037e-02
1.000e+00	3.207e-02
1.259e+00	2.547e-02
1.585e+00	2.023e-02
