# Mass (A')	 ctau (m)
1.000e-02	1.002e-01
1.259e-02	7.959e-02
1.585e-02	6.322e-02
1.995e-02	5.023e-02
2.512e-02	3.989e-02
3.162e-02	3.169e-02
3.981e-02	2.517e-02
5.012e-02	1.999e-02
6.310e-02	1.588e-02
7.943e-02	1.262e-02
1.000e-01	1.002e-02
1.259e-01	7.960e-03
1.585e-01	6.323e-03
1.995e-01	5.022e-03
2.512e-01	3.989e-03
3.162e-01	3.169e-03
3.981e-01	2.517e-03
5.012e-01	1.999e-03
6.310e-01	1.588e-03
7.943e-01	1.262e-03
1.000e+00	1.002e-03
1.259e+00	7.960e-04
1.585e+00	6.323e-04
