# Mass (A')	 ctau (m)
1.000e-02	2.435e+01
1.259e-02	1.934e+01
1.585e-02	1.536e+01
1.995e-02	1.221e+01
2.512e-02	9.694e+00
3.162e-02	7.701e+00
3.981e-02	6.117e+00
5.012e-02	4.858e+00
6.310e-02	3.859e+00
7.943e-02	3.066e+00
1.000e-01	2.435e+00
1.259e-01	1.934e+00
1.585e-01	1.536e+00
1.995e-01	1.220e+00
2.512e-01	9.694e-01
3.162e-01	7.700e-01
3.981e-01	6.116e-01
5.012e-01	4.858e-01
6.310e-01	3.859e-01
7.943e-01	3.066e-01
1.000e+00	2.435e-01
1.259e+00	1.934e-01
1.585e+00	1.536e-01
