# Mass (A')	 ctau (m)
1.000e-02	3.131e+02
1.259e-02	2.487e+02
1.585e-02	1.976e+02
1.995e-02	1.570e+02
2.512e-02	1.247e+02
3.162e-02	9.903e+01
3.981e-02	7.866e+01
5.012e-02	6.248e+01
6.310e-02	4.963e+01
7.943e-02	3.942e+01
1.000e-01	3.131e+01
1.259e-01	2.487e+01
1.585e-01	1.976e+01
1.995e-01	1.569e+01
2.512e-01	1.247e+01
3.162e-01	9.902e+00
3.981e-01	7.866e+00
5.012e-01	6.248e+00
6.310e-01	4.963e+00
7.943e-01	3.942e+00
1.000e+00	3.131e+00
1.259e+00	2.487e+00
1.585e+00	1.976e+00
