m,alph
1.0,0.45060045146347616
1.0995497748874437,0.4149121062235811
1.1990995497748875,0.38777683425785314
1.2986493246623312,0.376280095594053
1.3981990995497748,0.3596881140525112
1.4977488744372187,0.34566043207454616
1.5972986493246624,0.333606028366588
1.696848424212106,0.32310728357130497
1.7963981990995497,0.31385981412958747
1.8959479739869936,0.30563596810779026
1.9954977488744372,0.2982617207792153
2.095047523761881,0.29160152355738284
2.1945972986493247,0.2855480640993084
2.2941470735367684,0.2800151629173898
2.393696848424212,0.27493273257093426
2.4932466233116557,0.27024312830970104
2.5927963981990994,0.2658984586096255
2.692346173086543,0.2618585714679627
2.791895947973987,0.25808952497454063
2.8914457228614308,0.2545624105145032
2.9909954977488744,0.25125243660824687
3.090545272636318,0.24813820801735706
3.1900950475237617,0.2452011528112455
3.289644822411206,0.24242506290336077
3.3891945972986495,0.23979572250101253
3.488744372186093,0.23730060524616783
3.5882941470735368,0.2349286256794324
3.6878439219609804,0.23266993377232478
3.787393696848424,0.23051574407576758
3.886943471735868,0.22845819279419333
3.986493246623312,0.22649021755976653
4.086043021510756,0.22460545577588378
4.185592796398199,0.2237795857240158
4.285142571285643,0.22220984780572614
4.384692346173086,0.22069837605827727
4.4842421210605306,0.21924159238574276
4.583791895947974,0.21783621925182578
4.683341670835418,0.21647924802741753
4.7828914457228615,0.2151679113116791
4.882441220610305,0.21389965865130886
4.981990995497749,0.21267213517653324
5.0815407703851925,0.2114831627492733
5.181090545272636,0.21033072328870708
5.28064032016008,0.20921294395174006
5.380190095047523,0.20812808399113955
5.479739869934968,0.20707452301584853
5.579289644822412,0.20605075050123675
5.678839419709855,0.20505535639630362
5.778389194597299,0.20408702269294432
5.877938969484743,0.2031445158431001
5.977488744372186,0.20222667992495244
6.07703851925963,0.20133243047236313
6.1765882941470736,0.2004607488928917
6.276138069034517,0.1996106774092484
6.375687843921961,0.19878131446720582
6.4752376188094045,0.19797181056556645
6.574787393696848,0.19718136443582943
6.674337168584292,0.19640921959060353
6.773886943471736,0.19565466115042035
6.87343671835918,0.19491701294301056
6.972986493246624,0.19419563484714075
7.072536268134067,0.1934899203558031
7.172086043021511,0.19279929433768167
7.271635817908955,0.19212321097812177
7.371185592796398,0.1914611518828462
7.470735367683842,0.19081262432944235
7.570285142571286,0.19017715965320914
7.669834917458729,0.18955431175533718
7.769384692346173,0.18894365572262048
7.868934467233617,0.18834478654898199
7.96848424212106,0.18775731795005904
8.068034017008504,0.18718088126295185
8.167583791895948,0.18661512442400022
8.267133566783393,0.18605971102320673
8.366683341670836,0.18551431940295662
8.466233116558278,0.18497864185116394
8.565782891445723,0.18445238382611379
8.665332666333168,0.18393526323867923
8.76488244122061,0.18342700978192442
8.864432216108053,0.18292736430432122
8.963981990995498,0.18243607822326638
9.063531765882942,0.1819529129758718
9.163081540770385,0.18147763950426168
9.26263131565783,0.1810100377728425
9.362181090545272,0.18054989631522558
9.461730865432717,0.18009701180867294
9.56128064032016,0.17965118867411237
9.660830415207604,0.1792122386999254
9.760380190095047,0.17877998068785617
9.859929964982491,0.17835424011952017
9.959479739869936,0.17793484884211097
10.059029514757379,0.17752164477201254
10.158579289644823,0.17711447161512325
10.258129064532266,0.1767131786027895
10.35767883941971,0.176317620242329
10.457228614307153,0.1759276560812005
10.556778389194598,0.1755431504839467
10.65632816408204,0.17516397242109916
10.755877938969485,0.1747899952726947
10.855427713856928,0.17442109662864755
10.954977488744372,0.1740571581190236
11.054527263631815,0.173698065241532
11.15407703851926,0.17334370719933315
11.253626813406704,0.17299397674769126
11.353176588294147,0.172648770048324
11.452726363181592,0.17230798653099652
11.552276138069034,0.17197152876193786
11.651825912956479,0.17163930231868543
11.751375687843922,0.17131121567098942
11.850925462731366,0.1709871800674335
11.950475237618809,0.1706671094274498
12.050025012506254,0.17035092023842754
12.149574787393696,0.17003853145763362
12.24912456228114,0.169729864418681
12.348674337168584,0.16942484274229774
12.448224112056028,0.16912339225116477
12.547773886943473,0.1688254408886049
12.647323661830915,0.16853091864091838
12.74687343671836,0.16823975746317354
12.846423211605803,0.16795189120827203
12.945972986493247,0.1676672555591191
13.04552276138069,0.1673857879637392
13.145072536268135,0.16710742757318758
13.244622311155577,0.1668321151821153
13.344172086043022,0.1665597931718556
13.443721860930465,0.16629040545590537
13.54327163581791,0.16602389742768414
13.642821410705352,0.16576021591045792
13.742371185592797,0.1654993091093232
13.841920960480241,0.16524112656515175
13.941470735367684,0.16498561911040155
14.041020510255128,0.16473273882670547
14.140570285142571,0.16448243900415377
14.240120060030016,0.16423467410219056
14.339669834917459,0.16398939971383664
14.439219609804903,0.16374657252511762
14.538769384692346,0.16350615028273285
14.63831915957979,0.16326809176228346
14.737868934467233,0.16303235673492136
14.837418709354678,0.16279890593648555
14.93696848424212,0.16256770103780235
15.036518259129565,0.1623387046160988
15.13606803401701,0.16211188012747954
15.235617808904452,0.1618871918804208
15.335167583791897,0.16166460501023777
15.43471735867934,0.16144408545448266
15.534267133566784,0.16122559992923408
15.633816908454227,0.16100911590623956
15.733366683341671,0.16079460159087505
15.832916458229114,0.16058202590088733
15.932466233116559,0.16037135844588638
16.032016008004,0.16016256950755678
16.131565782891446,0.15995563002055813
16.23111555777889,0.1597505115540871
16.330665332666335,0.15954718629407272
16.430215107553778,0.15934562702598137
16.52976488244122,0.15914580711820472
16.629314657328663,0.1589477005060089
16.728864432216106,0.15875128167602212
16.828414207103553,0.15855652565123932
16.927963981990995,0.1583634079765239
17.027513756878438,0.1581719047045866
17.127063531765884,0.1579819923824241
